"Date" "GSPC.Open" "GSPC.High" "GSPC.Low" "GSPC.Close" "GSPC.Volume" "GSPC.Adjusted"
"1" 2015-01-02 2058.899902 2072.360107 2046.040039 2058.199951 2708700000 2058.199951
"2" 2015-01-05 2054.439941 2054.439941 2017.339966 2020.579956 3799120000 2020.579956
"3" 2015-01-06 2022.150024 2030.25 1992.439941 2002.609985 4460110000 2002.609985
"4" 2015-01-07 2005.550049 2029.609985 2005.550049 2025.900024 3805480000 2025.900024
"5" 2015-01-08 2030.609985 2064.080078 2030.609985 2062.139893 3934010000 2062.139893
"6" 2015-01-09 2063.449951 2064.429932 2038.329956 2044.810059 3364140000 2044.810059
"7" 2015-01-12 2046.130005 2049.300049 2022.579956 2028.26001 3456460000 2028.26001
"8" 2015-01-13 2031.579956 2056.929932 2008.25 2023.030029 4107300000 2023.030029
"9" 2015-01-14 2018.400024 2018.400024 1988.439941 2011.27002 4378680000 2011.27002
"10" 2015-01-15 2013.75 2021.349976 1991.469971 1992.670044 4276720000 1992.670044
"11" 2015-01-16 1992.25 2020.459961 1988.119995 2019.420044 4056410000 2019.420044
"12" 2015-01-20 2020.76001 2028.939941 2004.48999 2022.550049 3944340000 2022.550049
"13" 2015-01-21 2020.189941 2038.290039 2012.040039 2032.119995 3730070000 2032.119995
"14" 2015-01-22 2034.300049 2064.620117 2026.380005 2063.149902 4176050000 2063.149902
"15" 2015-01-23 2062.97998 2062.97998 2050.540039 2051.820068 3573560000 2051.820068
"16" 2015-01-26 2050.419922 2057.620117 2040.969971 2057.090088 3465760000 2057.090088
"17" 2015-01-27 2047.859985 2047.859985 2019.910034 2029.550049 3329810000 2029.550049
"18" 2015-01-28 2032.339966 2042.48999 2001.48999 2002.160034 4067530000 2002.160034
"19" 2015-01-29 2002.449951 2024.640015 1989.180054 2021.25 4127140000 2021.25
"20" 2015-01-30 2019.349976 2023.319946 1993.380005 1994.98999 4568650000 1994.98999
"21" 2015-02-02 1996.670044 2021.660034 1980.900024 2020.849976 4008330000 2020.849976
"22" 2015-02-03 2022.709961 2050.300049 2022.709961 2050.030029 4615900000 2050.030029
"23" 2015-02-04 2048.860107 2054.73999 2036.719971 2041.51001 4141920000 2041.51001
"24" 2015-02-05 2043.449951 2063.550049 2043.449951 2062.52002 3821990000 2062.52002
"25" 2015-02-06 2062.280029 2072.399902 2049.969971 2055.469971 4232970000 2055.469971
"26" 2015-02-09 2053.469971 2056.159912 2041.880005 2046.73999 3549540000 2046.73999
"27" 2015-02-10 2049.379883 2070.860107 2048.620117 2068.590088 3669850000 2068.590088
"28" 2015-02-11 2068.550049 2073.47998 2057.98999 2068.530029 3596860000 2068.530029
"29" 2015-02-12 2069.97998 2088.530029 2069.97998 2088.47998 3788350000 2088.47998
"30" 2015-02-13 2088.780029 2097.030029 2086.699951 2096.98999 3527450000 2096.98999
"31" 2015-02-17 2096.469971 2101.300049 2089.800049 2100.340088 3361750000 2100.340088
"32" 2015-02-18 2099.159912 2100.22998 2092.149902 2099.679932 3370020000 2099.679932
"33" 2015-02-19 2099.25 2102.129883 2090.790039 2097.449951 3247100000 2097.449951
"34" 2015-02-20 2097.649902 2110.610107 2085.439941 2110.300049 3281600000 2110.300049
"35" 2015-02-23 2109.830078 2110.050049 2103 2109.659912 3093680000 2109.659912
"36" 2015-02-24 2109.100098 2117.939941 2105.870117 2115.47998 3199840000 2115.47998
"37" 2015-02-25 2115.300049 2119.590088 2109.889893 2113.860107 3312340000 2113.860107
"38" 2015-02-26 2113.909912 2113.909912 2103.76001 2110.73999 3408690000 2110.73999
"39" 2015-02-27 2110.879883 2112.73999 2103.75 2104.5 3547380000 2104.5
"40" 2015-03-02 2105.22998 2117.52002 2104.5 2117.389893 3409490000 2117.389893
"41" 2015-03-03 2115.76001 2115.76001 2098.26001 2107.780029 3262300000 2107.780029
"42" 2015-03-04 2107.719971 2107.719971 2094.48999 2098.530029 3421110000 2098.530029
"43" 2015-03-05 2098.540039 2104.25 2095.219971 2101.040039 3103030000 2101.040039
"44" 2015-03-06 2100.909912 2100.909912 2067.27002 2071.26001 3853570000 2071.26001
"45" 2015-03-09 2072.25 2083.48999 2072.209961 2079.429932 3349090000 2079.429932
"46" 2015-03-10 2076.139893 2076.139893 2044.160034 2044.160034 3668900000 2044.160034
"47" 2015-03-11 2044.689941 2050.080078 2039.689941 2040.23999 3406570000 2040.23999
"48" 2015-03-12 2041.099976 2066.409912 2041.099976 2065.949951 3405860000 2065.949951
"49" 2015-03-13 2064.560059 2064.560059 2041.170044 2053.399902 3498560000 2053.399902
"50" 2015-03-16 2055.350098 2081.409912 2055.350098 2081.189941 3295600000 2081.189941
"51" 2015-03-17 2080.590088 2080.590088 2065.080078 2074.280029 3221840000 2074.280029
"52" 2015-03-18 2072.840088 2106.850098 2061.22998 2099.5 4128210000 2099.5
"53" 2015-03-19 2098.689941 2098.689941 2085.560059 2089.27002 3305220000 2089.27002
"54" 2015-03-20 2090.320068 2113.919922 2090.320068 2108.100098 5554120000 2108.100098
"55" 2015-03-23 2107.98999 2114.860107 2104.419922 2104.419922 3267960000 2104.419922
"56" 2015-03-24 2103.939941 2107.629883 2091.5 2091.5 3189820000 2091.5
"57" 2015-03-25 2093.100098 2097.429932 2061.050049 2061.050049 3521140000 2061.050049
"58" 2015-03-26 2059.939941 2067.149902 2045.5 2056.149902 3510670000 2056.149902
"59" 2015-03-27 2055.780029 2062.830078 2052.959961 2061.02002 3008550000 2061.02002
"60" 2015-03-30 2064.110107 2088.969971 2064.110107 2086.23999 2917690000 2086.23999
"61" 2015-03-31 2084.050049 2084.050049 2067.040039 2067.889893 3376550000 2067.889893
"62" 2015-04-01 2067.629883 2067.629883 2048.379883 2059.689941 3543270000 2059.689941
"63" 2015-04-02 2060.030029 2072.169922 2057.320068 2066.959961 3095960000 2066.959961
"64" 2015-04-06 2064.870117 2086.98999 2056.52002 2080.620117 3302970000 2080.620117
"65" 2015-04-07 2080.790039 2089.810059 2076.100098 2076.330078 3065510000 2076.330078
"66" 2015-04-08 2076.939941 2086.689941 2073.300049 2081.899902 3265330000 2081.899902
"67" 2015-04-09 2081.290039 2093.310059 2074.290039 2091.179932 3172360000 2091.179932
"68" 2015-04-10 2091.51001 2102.610107 2091.51001 2102.060059 3156200000 2102.060059
"69" 2015-04-13 2102.030029 2107.649902 2092.330078 2092.429932 2908420000 2092.429932
"70" 2015-04-14 2092.280029 2098.620117 2083.23999 2095.840088 3301270000 2095.840088
"71" 2015-04-15 2097.820068 2111.909912 2097.820068 2106.629883 4013760000 2106.629883
"72" 2015-04-16 2105.959961 2111.300049 2100.02002 2104.98999 3434120000 2104.98999
"73" 2015-04-17 2102.580078 2102.580078 2072.370117 2081.179932 3627600000 2081.179932
"74" 2015-04-20 2084.110107 2103.939941 2084.110107 2100.399902 3000160000 2100.399902
"75" 2015-04-21 2102.820068 2109.639893 2094.379883 2097.290039 3243410000 2097.290039
"76" 2015-04-22 2098.27002 2109.97998 2091.050049 2107.959961 3348480000 2107.959961
"77" 2015-04-23 2107.209961 2120.48999 2103.189941 2112.929932 3636670000 2112.929932
"78" 2015-04-24 2112.800049 2120.919922 2112.800049 2117.689941 3375780000 2117.689941
"79" 2015-04-27 2119.290039 2125.919922 2107.040039 2108.919922 3438750000 2108.919922
"80" 2015-04-28 2108.350098 2116.040039 2094.889893 2114.76001 3546270000 2114.76001
"81" 2015-04-29 2112.48999 2113.649902 2097.409912 2106.850098 4074970000 2106.850098
"82" 2015-04-30 2105.52002 2105.52002 2077.590088 2085.51001 4509680000 2085.51001
"83" 2015-05-01 2087.379883 2108.409912 2087.379883 2108.290039 3379390000 2108.290039
"84" 2015-05-04 2110.22998 2120.949951 2110.22998 2114.48999 3091580000 2114.48999
"85" 2015-05-05 2112.629883 2115.23999 2088.459961 2089.459961 3793950000 2089.459961
"86" 2015-05-06 2091.26001 2098.419922 2067.929932 2080.149902 3792210000 2080.149902
"87" 2015-05-07 2079.959961 2092.899902 2074.98999 2088 3676640000 2088
"88" 2015-05-08 2092.129883 2117.659912 2092.129883 2116.100098 3399440000 2116.100098
"89" 2015-05-11 2115.560059 2117.689941 2104.580078 2105.330078 2992670000 2105.330078
"90" 2015-05-12 2102.870117 2105.060059 2085.570068 2099.120117 3139520000 2099.120117
"91" 2015-05-13 2099.620117 2110.189941 2096.040039 2098.47998 3374260000 2098.47998
"92" 2015-05-14 2100.429932 2121.449951 2100.429932 2121.100098 3225740000 2121.100098
